(SCHEMES,"Schemes",3)
(COLON,":",3)
(ID,"childOf",4)
(LEFT_PAREN,"(",4)
(ID,"A",4)
(COMMA,",",4)
(ID,"B",4)
(RIGHT_PAREN,")",4)
(ID,"marriedTo",5)
(LEFT_PAREN,"(",5)
(ID,"A",5)
(COMMA,",",5)
(ID,"B",5)
(RIGHT_PAREN,")",5)
(ID,"siblings",6)
(LEFT_PAREN,"(",6)
(ID,"W",6)
(COMMA,",",6)
(ID,"X",6)
(COMMA,",",6)
(ID,"Y",6)
(COMMA,",",6)
(ID,"Z",6)
(RIGHT_PAREN,")",6)
(FACTS,"Facts",8)
(COLON,":",8)
(ID,"marriedTo",9)
(LEFT_PAREN,"(",9)
(STRING,"'Zed'",9)
(COMMA,",",9)
(STRING,"'Bea'",9)
(RIGHT_PAREN,")",9)
(PERIOD,".",9)
(ID,"marriedTo",10)
(LEFT_PAREN,"(",10)
(STRING,"'Bea'",10)
(COMMA,",",10)
(STRING,"'Zed'",10)
(RIGHT_PAREN,")",10)
(PERIOD,".",10)
(ID,"childOf",11)
(LEFT_PAREN,"(",11)
(STRING,"'Jill'",11)
(COMMA,",",11)
(STRING,"'Zed'",11)
(RIGHT_PAREN,")",11)
(PERIOD,".",11)
(ID,"childOf",12)
(LEFT_PAREN,"(",12)
(STRING,"'Ned'",12)
(COMMA,",",12)
(STRING,"'Bea'",12)
(RIGHT_PAREN,")",12)
(PERIOD,".",12)
(ID,"childOf",13)
(LEFT_PAREN,"(",13)
(STRING,"'Tim'",13)
(COMMA,",",13)
(STRING,"'Bea'",13)
(RIGHT_PAREN,")",13)
(PERIOD,".",13)
(ID,"childOf",14)
(LEFT_PAREN,"(",14)
(STRING,"'Zed'",14)
(COMMA,",",14)
(STRING,"'Zed'",14)
(RIGHT_PAREN,")",14)
(PERIOD,".",14)
(ID,"siblings",15)
(LEFT_PAREN,"(",15)
(STRING,"'Jill'",15)
(COMMA,",",15)
(STRING,"'Zed'",15)
(COMMA,",",15)
(STRING,"'Tim'",15)
(COMMA,",",15)
(STRING,"'Zed'",15)
(RIGHT_PAREN,")",15)
(PERIOD,".",15)
(ID,"childOf",16)
(LEFT_PAREN,"(",16)
(STRING,"'George Foreman'",16)
(COMMA,",",16)
(STRING,"'George Foreman'",16)
(RIGHT_PAREN,")",16)
(PERIOD,".",16)
(ID,"childOf",17)
(LEFT_PAREN,"(",17)
(STRING,"'George Foreman'",17)
(COMMA,",",17)
(STRING,"'George Foreman'",17)
(RIGHT_PAREN,")",17)
(PERIOD,".",17)
(ID,"childOf",18)
(LEFT_PAREN,"(",18)
(STRING,"'George Foreman'",18)
(COMMA,",",18)
(STRING,"'George Foreman'",18)
(RIGHT_PAREN,")",18)
(PERIOD,".",18)
(ID,"childOf",19)
(LEFT_PAREN,"(",19)
(STRING,"'George Foreman'",19)
(COMMA,",",19)
(STRING,"'George Foreman'",19)
(RIGHT_PAREN,")",19)
(PERIOD,".",19)
(ID,"childOf",20)
(LEFT_PAREN,"(",20)
(STRING,"'George Foreman'",20)
(COMMA,",",20)
(STRING,"'George Foreman'",20)
(RIGHT_PAREN,")",20)
(PERIOD,".",20)
(ID,"childOf",21)
(LEFT_PAREN,"(",21)
(STRING,"'George Foreman'",21)
(COMMA,",",21)
(STRING,"'George Foreman'",21)
(RIGHT_PAREN,")",21)
(PERIOD,".",21)
(ID,"childOf",22)
(LEFT_PAREN,"(",22)
(STRING,"'George Foreman'",22)
(COMMA,",",22)
(STRING,"'George Foreman'",22)
(RIGHT_PAREN,")",22)
(PERIOD,".",22)
(ID,"childOf",23)
(LEFT_PAREN,"(",23)
(STRING,"'George Foreman'",23)
(COMMA,",",23)
(STRING,"'George Foreman'",23)
(RIGHT_PAREN,")",23)
(PERIOD,".",23)
(ID,"siblings",24)
(LEFT_PAREN,"(",24)
(STRING,"'George Foreman'",24)
(COMMA,",",24)
(STRING,"'George Foreman'",24)
(COMMA,",",24)
(STRING,"'George Foreman'",24)
(COMMA,",",24)
(STRING,"'George Foreman'",24)
(RIGHT_PAREN,")",24)
(PERIOD,".",24)
(ID,"siblings",25)
(LEFT_PAREN,"(",25)
(STRING,"'George Foreman'",25)
(COMMA,",",25)
(STRING,"'George Foreman'",25)
(COMMA,",",25)
(STRING,"'George Foreman'",25)
(COMMA,",",25)
(STRING,"'George Foreman'",25)
(RIGHT_PAREN,")",25)
(PERIOD,".",25)
(ID,"siblings",26)
(LEFT_PAREN,"(",26)
(STRING,"'George Foreman'",26)
(COMMA,",",26)
(STRING,"'George Foreman'",26)
(COMMA,",",26)
(STRING,"'George Foreman'",26)
(COMMA,",",26)
(STRING,"'George Foreman'",26)
(RIGHT_PAREN,")",26)
(PERIOD,".",26)
(ID,"siblings",27)
(LEFT_PAREN,"(",27)
(STRING,"'Tod'",27)
(COMMA,",",27)
(STRING,"'Tod'",27)
(COMMA,",",27)
(STRING,"'George Foreman'",27)
(COMMA,",",27)
(STRING,"'Tod'",27)
(RIGHT_PAREN,")",27)
(PERIOD,".",27)
(RULES,"Rules",29)
(COLON,":",29)
(ID,"childOf",30)
(LEFT_PAREN,"(",30)
(ID,"X",30)
(COMMA,",",30)
(ID,"Y",30)
(RIGHT_PAREN,")",30)
(COLON_DASH,":-",30)
(ID,"childOf",30)
(LEFT_PAREN,"(",30)
(ID,"X",30)
(COMMA,",",30)
(ID,"Z",30)
(RIGHT_PAREN,")",30)
(COMMA,",",30)
(ID,"marriedTo",30)
(LEFT_PAREN,"(",30)
(ID,"Y",30)
(COMMA,",",30)
(ID,"Z",30)
(RIGHT_PAREN,")",30)
(PERIOD,".",30)
(ID,"marriedTo",31)
(LEFT_PAREN,"(",31)
(ID,"X",31)
(COMMA,",",31)
(ID,"Y",31)
(RIGHT_PAREN,")",31)
(COLON_DASH,":-",31)
(ID,"marriedTo",31)
(LEFT_PAREN,"(",31)
(ID,"Y",31)
(COMMA,",",31)
(ID,"X",31)
(RIGHT_PAREN,")",31)
(PERIOD,".",31)
(QUERIES,"Queries",33)
(COLON,":",33)
(ID,"marriedTo",34)
(LEFT_PAREN,"(",34)
(ID,"Y",34)
(COMMA,",",34)
(ID,"X",34)
(RIGHT_PAREN,")",34)
(Q_MARK,"?",34)
(ID,"childOf",35)
(LEFT_PAREN,"(",35)
(ID,"Y",35)
(COMMA,",",35)
(ID,"Y",35)
(RIGHT_PAREN,")",35)
(Q_MARK,"?",35)
(ID,"childOf",36)
(LEFT_PAREN,"(",36)
(ID,"Y",36)
(COMMA,",",36)
(STRING,"'Bea'",36)
(RIGHT_PAREN,")",36)
(Q_MARK,"?",36)
(ID,"siblings",37)
(LEFT_PAREN,"(",37)
(ID,"A",37)
(COMMA,",",37)
(ID,"B",37)
(COMMA,",",37)
(ID,"B",37)
(COMMA,",",37)
(ID,"A",37)
(RIGHT_PAREN,")",37)
(Q_MARK,"?",37)
(ID,"siblings",38)
(LEFT_PAREN,"(",38)
(ID,"A",38)
(COMMA,",",38)
(ID,"C",38)
(COMMA,",",38)
(STRING,"'George Foreman'",38)
(COMMA,",",38)
(ID,"A",38)
(RIGHT_PAREN,")",38)
(Q_MARK,"?",38)
(EOF,"",39)
Total Tokens = 262
